,subb,trial_latencies,num_of_blinks,blink_durations,avg_latency,avg_blinks_per_trial,avg_blink_duration
0,s25,"{1: array([ 268, 1408,  704,  234,  301,  268,  704]), 2: array([504, 504, 302, 336, 336, 470, 436]), 3: array([403., 134., 100.,  nan,  67., 235., 335.]), 4: array([403., 269.,  nan, 302., 201., 201., 168.]), 5: array([269, 269, 302, 269, 134, 302, 538]), 6: array([336, 235,  33, 134,  33, 268, 302]), 7: array([303., 235.,  nan, 235., 269., 370., 471.]), 8: array([ 269,  269,  235, 1244,  235,  638, 1076]), 9: array([336, 268, 235, 134, 436, 268, 302]), 10: array([301., 268.,  nan, 368., 100., 268., 301.])}","{1: 8, 2: 7, 3: 8, 4: 7, 5: 7, 6: 7, 7: 6, 8: 10, 9: 7, 10: 8}","{1: array([536, 402, 301, 301, 335, 268, 167, 134, 134,  67]), 2: array([672, 268, 302, 201, 201, 302, 302, 134, 134]), 3: array([604, 470, 403, 503, 268, 335, 268, 134,  67, 201]), 4: array([672, 437, 437, 302, 201, 269, 302, 201]), 5: array([740, 471, 370, 437, 336, 302, 336, 134, 134]), 6: array([705, 571, 369, 470, 504, 369, 403, 201, 235]), 7: array([673, 404, 370, 404, 336, 303, 370]), 8: array([571, 638, 504, 504, 235, 269, 302, 302, 168, 100, 235, 134]), 9: array([369, 302, 268, 336, 268, 235, 235, 268, 134]), 10: array([435, 502, 402, 368, 301, 335, 201, 301, 134, 167])}",306.6969696969697,7.4,320.97849462365593
1,s81,"{1: [], 2: array([395.,  nan,  nan,  nan,  nan,  nan,  nan]), 3: array([ nan,  nan,  nan, 395.,  nan, 625.,  nan]), 4: [], 5: [], 6: array([ nan,  nan, 200.,  nan, 367., 334., 434.]), 7: array([334.,  33., 267.,  nan, 267.,  33.,  nan]), 8: array([301.,  nan, 301., 334.,  nan,  nan, 434.]), 9: [], 10: array([469.,  nan,  nan,  nan,  nan,  nan, 335.])}","{1: [], 2: 0, 3: 2, 4: [], 5: [], 6: 4, 7: 4, 8: 3, 9: [], 10: 1}","{1: [], 2: array([98]), 3: array([230, 164]), 4: [], 5: [], 6: array([167, 133, 167,  66,  66]), 7: array([401, 200, 200, 133, 167,  66]), 8: array([133, 133, 100, 100]), 9: [], 10: array([167, 100])}",316.77777777777777,2.3333333333333335,138.0
2,s61,"{1: array([235, 235, 235, 269, 235, 269, 269]), 2: array([402, 268, 268, 268, 301, 268, 301]), 3: array([235, 235, 235, 235, 268, 302, 335]), 4: array([269, 302, 269, 235, 269, 302, 269]), 5: array([235, 268, 235, 235, 268, 302, 268]), 6: [], 7: [], 8: [], 9: [], 10: []}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: [], 7: [], 8: [], 9: [], 10: []}","{1: array([235, 201, 201, 168, 201, 201, 168]), 2: array([234, 201, 201, 167, 134, 201, 167]), 3: array([268, 268, 235, 201, 100, 201, 167]), 4: array([235, 235, 235, 168, 168, 235, 134]), 5: array([268, 201, 235, 168, 201, 201, 134]), 6: [], 7: [], 8: [], 9: [], 10: []}",264.6,6.0,196.37142857142857
3,s87,"{1: array([ nan,  nan,  nan,  nan,  nan, 501., 701.]), 2: array([nan, nan, nan, nan, nan, nan, nan]), 3: [], 4: array([ nan, 734.,  nan,  nan,  nan,  nan, 701.]), 5: [], 6: array([1134., 1635., 1034.,   nan, 1234., 1134., 1268.]), 7: array([1236.,   nan,   nan,   nan,   nan,   nan,   nan]), 8: array([1268.,  701.,   66.,   nan,   66.,   nan,   nan]), 9: array([ 770.,   nan,  569.,  100.,  837.,  938., 1038.]), 10: array([ 935.,  100., 1002.,  901.,   nan, 1302.,   nan])}","{1: 2, 2: 0, 3: [], 4: 2, 5: [], 6: 6, 7: 0, 8: 3, 9: 8, 10: 6}","{1: array([100,  66]), 2: array([], dtype=float64), 3: [], 4: array([100,  66]), 5: [], 6: array([901, 700, 467, 233, 267, 267,  66, 200,  66]), 7: array([701, 568, 434]), 8: array([434, 267, 200,  66, 233, 166, 133]), 9: array([569, 469, 670, 335, 402, 134, 100, 301, 201]), 10: array([634, 601, 634, 233, 233, 267, 200, 167])}",829.6923076923077,3.375,310.375
4,s86,"{1: array([335, 302, 436, 369, 369, 302, 302]), 2: array([206, 103, 137, 103, 309, 240, 240]), 3: array([536, 402, 469, 368, 234, 301, 335]), 4: array([403, 369, 302, 369, 302, 336, 403]), 5: array([403, 336, 370, 302, 437, 302, 403]), 6: array([ nan,  nan, 403.,  nan,  nan,  nan, 537.]), 7: array([302.,  nan, 235., 403., 302., 470., 369.]), 8: array([ nan,  nan,  nan, 536., 436., 369., 503.]), 9: array([403, 403, 369, 470, 403, 369, 336]), 10: array([571.,  nan, 336., 369., 369.,  nan, 336.])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 2, 7: 5, 8: 4, 9: 6, 10: 4}","{1: array([302, 234, 268, 134, 134, 201,  67]), 2: array([412, 343, 377, 343, 274, 137, 171]), 3: array([301, 301, 134, 100, 201,  67,  67]), 4: array([302, 235, 269, 235, 168, 201, 134, 100]), 5: array([336, 302, 201, 201, 269, 201, 201]), 6: array([100,  67]), 7: array([302, 302, 134, 167, 167, 100]), 8: array([167, 134, 134, 100]), 9: array([268, 201, 168, 168, 201, 134, 134]), 10: array([235, 201, 168, 201,  67])}",357.50847457627117,5.3,196.78333333333333
5,s58,"{1: array([531.,  nan, 398., 398., 464., 365., 564.]), 2: array([300., 400.,  nan, 367., 434., 567., 434.]), 3: array([532, 365, 399, 465, 465, 432, 332]), 4: array([612., 408.,  nan, 544., 306., 510., 476.]), 5: array([432, 399, 532, 365, 432, 399, 399]), 6: array([ nan,  nan,  nan, 608.,  nan,  nan,  nan]), 7: array([ nan, 566.,  nan,  nan,  nan,  nan,  nan]), 8: array([nan, nan, nan, nan, nan, nan, nan]), 9: [], 10: []}","{1: 5, 2: 5, 3: 6, 4: 5, 5: 6, 6: 1, 7: 1, 8: 0, 9: [], 10: []}","{1: array([232, 166, 166,  66, 132,  66]), 2: array([434, 367, 233, 300, 300, 133]), 3: array([266, 199, 199, 199, 166, 199, 133]), 4: array([272, 170, 204, 136, 136, 136]), 5: array([465, 332, 199, 133, 232, 199, 133,  66]), 6: array([135]), 7: array([299]), 8: array([], dtype=float64), 9: [], 10: []}",449.05882352941177,3.625,203.74285714285713
6,s53,"{1: array([401, 368, 401, 602, 568, 401, 568]), 2: array([469, 435, 335, 268, 268, 368, 368]), 3: array([368, 301, 301, 335, 301, 335, 335]), 4: array([635., 334., 301.,  nan, 468., 569., 468.]), 5: array([468, 334, 401, 368, 301, 368, 301]), 6: array([402, 268, 268, 268, 301, 402, 335]), 7: array([368, 301, 267, 267, 267, 267, 267]), 8: array([301, 234, 268, 268, 301, 335, 335]), 9: array([338, 236, 202, 202, 236, 270, 304]), 10: array([702, 468, 367, 367, 300, 401, 401])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([200, 167, 167, 167, 167, 133, 167]), 2: array([335, 234, 268, 100, 201, 167, 134]), 3: array([234, 201, 201, 167, 201, 201, 134]), 4: array([502, 200, 167, 133, 167, 133, 133]), 5: array([267, 167, 200, 167, 167, 167, 100]), 6: array([167, 134, 167,  67, 134, 134, 134]), 7: array([234, 234, 167, 200, 167, 133, 167]), 8: array([335, 201, 167, 201, 167, 167, 167]), 9: array([202, 202, 169, 169, 169, 135, 101]), 10: array([234, 200, 167, 167, 133, 133, 100])}",346.2463768115942,6.0,174.3
7,s66,"{1: array([535, 334, 301, 401, 468, 401, 334]), 2: array([469, 402, 368, 435, 435, 368, 502]), 3: array([401, 367, 367, 334, 334, 367, 367]), 4: array([335, 302, 369, 402, 369, 369, 402]), 5: array([402, 368, 368, 436, 503, 503, 469]), 6: array([369, 301, 268, 301, 301, 335, 301]), 7: array([334, 267, 334, 300, 334, 367, 300]), 8: array([368, 301, 301, 402, 402, 402, 402]), 9: array([334, 301, 334, 368, 334, 368, 401]), 10: array([369, 369, 402, 369, 402, 369, 335])}","{1: 6, 2: 6, 3: 7, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([167, 133, 133, 133, 133, 133,  66]), 2: array([569, 201, 134, 167, 134, 100, 100]), 3: array([167, 167, 167, 167, 133, 133,  66, 133]), 4: array([201, 134, 134, 134, 134, 134, 134]), 5: array([201, 167, 167, 134, 134, 134,  67]), 6: array([234, 201, 201, 167, 134, 167, 167]), 7: array([234, 200, 234, 133, 167, 167, 167]), 8: array([234, 167, 167, 134, 134, 134, 100]), 9: array([234, 200, 133, 100, 167, 133, 100]), 10: array([167, 134, 134, 134, 134, 100, 100])}",365.77142857142854,6.0,149.66197183098592
8,s73,"{1: array([634, 300, 334, 367, 400, 400, 367]), 2: array([333, 366, 333, 300, 300, 333, 366]), 3: array([469, 369, 302, 335, 234, 335, 369]), 4: array([466, 399, 299, 433, 433, 333, 366]), 5: array([334, 367, 367, 367, 334, 400, 334]), 6: array([467, 334, 434, 367, 367, 400, 400]), 7: array([468, 334, 334, 334, 334, 367, 401]), 8: array([572, 303, 269, 337, 337, 235, 438]), 9: array([334., 368., 368., 435.,  nan, 368., 334.]), 10: array([367, 333, 300, 434, 333, 367, 367])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 5, 10: 6}","{1: array([267, 233, 233, 200, 100, 133, 200, 100]), 2: array([266, 266, 200, 233, 233, 133, 133]), 3: array([268, 234, 268, 201, 234, 134, 201, 134]), 4: array([333, 266, 199, 199, 166, 166, 166,  99]), 5: array([334, 267, 233, 200, 200, 267, 233]), 6: array([400, 367, 367, 200, 267, 300, 334, 133]), 7: array([334, 301, 334, 301, 301, 200, 200]), 8: array([404, 370, 303, 235, 235, 235, 235]), 9: array([334, 301, 334, 200, 133, 267,  66]), 10: array([367, 267, 300, 267, 267, 300, 333])}",362.7971014492754,6.0,242.16216216216216
9,s75,"{1: array([300, 266, 366, 300, 333, 300, 333]), 2: [], 3: [], 4: [], 5: [], 6: array([333, 400, 333, 300, 266, 300, 366]), 7: array([267, 300, 400, 367, 333, 534, 300]), 8: array([299, 333, 266, 299, 299, 333, 299]), 9: array([267, 334, 334, 300, 367, 501, 334]), 10: array([334, 334, 367, 367, 367, 334, 401])}","{1: 6, 2: [], 3: [], 4: [], 5: [], 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([233, 233, 233, 133, 133, 166, 100]), 2: [], 3: [], 4: [], 5: [], 6: array([266, 233, 200, 200, 200, 133, 100]), 7: array([267, 200, 233, 166, 166, 200, 233]), 8: array([233, 233, 233, 199, 199, 133, 166, 133]), 9: array([267, 200, 234, 200, 133, 200, 133]), 10: array([267, 234, 200, 200, 234, 200, 167])}",329.35714285714283,6.0,194.4418604651163
10,s71,"{1: array([301, 301, 301, 369, 335, 301, 436]), 2: array([301, 301, 301, 334, 301, 267, 368]), 3: array([334, 368, 301, 267, 267, 334, 368]), 4: array([302, 268, 335, 335, 335,  67, 335]), 5: array([334., 100.,  nan, 167.,  66., 301., 368.]), 6: array([702, 267, 301, 301, 334, 368, 301]), 7: array([302, 335, 268, 268, 167, 369, 403]), 8: array([301.,  nan, 335., 335., 335., 301., 335.]), 9: array([268, 335, 335, 368, 368, 335, 268]), 10: array([268, 201, 336, 403, 336, 369, 369])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 7, 7: 6, 8: 5, 9: 6, 10: 6}","{1: array([234, 234, 167, 167, 167, 167, 100]), 2: array([267, 200, 200, 167, 167, 167, 167]), 3: array([234, 234, 234, 200, 167, 100, 200]), 4: array([470, 235, 201, 201, 235, 201, 167]), 5: array([234, 200, 234, 167, 133, 133, 100]), 6: array([200, 167, 200, 167, 167, 200, 167, 167, 167]), 7: array([403, 235, 167, 167, 235, 134, 100]), 8: array([234, 201, 167, 201, 134, 100]), 9: array([201, 201, 167, 167, 100, 134, 134]), 10: array([201, 201, 201, 134, 168, 134, 134])}",317.97058823529414,6.0,182.59154929577466
11,s2,"{1: array([166.,  33.,  nan, 199.,  nan, 233.,  99.]), 2: array([299, 233, 266,  99, 399, 299, 332]), 3: array([ 233., 1432.,   nan,   66.,   nan,  133.,  233.]), 4: array([232, 133, 266, 232, 166, 133, 166]), 5: array([333., 133.,  nan, 166.,  66., 266., 266.]), 6: array([199,  66,  66, 266, 233, 233, 266]), 7: array([298., 232., 199.,  nan, 199., 265., 265.]), 8: array([233., 266., 299., 266., 299.,  nan, 233.]), 9: array([266,  66, 199, 233, 133, 233,  99]), 10: array([233., 233., 233.,  nan, 200., 333., 300.])}","{1: 6, 2: 7, 3: 5, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([499, 466, 466, 366, 233, 399, 266, 399]), 2: array([399, 266, 266, 299, 166, 233, 299, 299]), 3: array([632, 566, 566, 433, 499, 333, 333]), 4: array([499, 366, 432, 366, 332, 366, 366, 332]), 5: array([433, 466, 366, 299, 299, 299, 199, 166]), 6: array([466, 433, 499, 366, 299, 366, 366]), 7: array([531, 398, 365, 365, 265, 331, 331]), 8: array([633, 366, 366, 366, 166, 333, 333, 333,  99]), 9: array([499, 433, 466, 366, 333, 333, 299]), 10: array([466, 366, 233, 233, 266, 233, 166])}",215.3548387096774,6.0,359.7368421052632
12,s46,"{1: array([442.,  nan,  nan,  nan,  nan,  nan,  nan]), 2: [], 3: [], 4: [], 5: array([965.,  nan,  nan,  nan,  nan,  nan,  nan]), 6: [], 7: [], 8: [], 9: [], 10: []}","{1: 0, 2: [], 3: [], 4: [], 5: 0, 6: [], 7: [], 8: [], 9: [], 10: []}","{1: array([68]), 2: [], 3: [], 4: [], 5: array([133,  99]), 6: [], 7: [], 8: [], 9: [], 10: []}",703.5,0.0,100.0
13,s23,"{1: array([200, 234, 234,  66, 301, 267, 133]), 2: array([268., 268., 268., 100., 268., 302.,  nan]), 3: array([267, 267, 267, 200,  33, 300, 300]), 4: array([435., 301., 301., 301., 301., 301.,  nan]), 5: array([234., 268., 201., 268., 268.,  nan, 268.]), 6: array([267, 267, 133, 267, 267,  66, 267]), 7: array([169, 135, 237, 169, 271, 237, 271]), 8: array([302., 234., 469., 302., 268.,  nan, 369.]), 9: array([267, 301, 301, 334, 100, 267, 368]), 10: array([335, 268, 368, 268, 268, 301, 268])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 7, 7: 6, 8: 8, 9: 6, 10: 6}","{1: array([368, 334, 334, 301, 301, 267, 301, 200]), 2: array([335, 369, 335, 335, 335, 335, 335, 234]), 3: array([401, 334, 367, 334, 334, 300, 233]), 4: array([267, 234, 234, 167, 234, 234, 200, 133]), 5: array([301, 268, 234, 268, 201, 234, 134, 234]), 6: array([368, 301, 301, 301, 301, 234, 267, 133, 234]), 7: array([372, 372, 305, 338, 237, 203, 305]), 8: array([302, 268, 268, 201, 167, 201, 268, 167, 134, 134]), 9: array([401, 234, 234, 234, 167, 200, 200]), 10: array([402, 335, 301, 301, 234, 167, 268, 134])}",256.530303030303,6.2,268.45
14,s59,"{1: array([ 799.,   nan,   nan,   nan,   nan,   nan, 1032.]), 2: array([ 799.,  733.,   nan, 1366.,   nan,   nan,   nan]), 3: array([1033.,   nan,   nan,  333.,   nan,   nan,   nan]), 4: array([1065.,   nan,   nan,   nan,   nan,   nan,   nan]), 5: array([1068.,   nan,   nan,   nan,   nan,   nan,   nan]), 6: [], 7: array([1000.,   nan,   nan,   nan,   nan,  100.,  767.]), 8: array([732.,  nan,  nan,  nan, 699.,  nan,  nan]), 9: array([ nan,  nan,  nan,  nan,  nan, 732., 133.]), 10: array([1000.,  967.,   nan,  867.,   nan,   nan,   nan])}","{1: 1, 2: 2, 3: 1, 4: 0, 5: 0, 6: [], 7: 3, 8: 2, 9: 3, 10: 2}","{1: array([499, 466]), 2: array([433, 166, 199]), 3: array([300, 200]), 4: array([166]), 5: array([133]), 6: [], 7: array([433, 366, 133, 366]), 8: array([266, 166, 166, 166]), 9: array([266, 199,  99]), 10: array([300,  66, 133])}",787.3684210526316,1.5555555555555556,247.34782608695653
15,s39,"{1: array([368, 368, 435, 401, 435, 401, 435]), 2: array([301, 368, 402, 435, 469, 435, 502]), 3: array([301, 401, 334, 401, 368, 401, 334]), 4: array([434, 434, 467, 334, 434, 400, 467]), 5: array([401, 434, 401, 334, 367, 401, 300]), 6: array([333, 333, 333, 367, 333, 367, 333]), 7: array([400, 467, 467, 400, 333, 400, 367]), 8: array([300, 300, 300, 468, 468, 401, 367]), 9: array([434, 367, 367, 367, 333, 367, 434]), 10: array([401, 401, 435, 401, 401, 334, 334])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([267, 234, 234, 267, 200, 200, 200]), 2: array([268, 234, 234, 234, 167, 134, 167]), 3: array([267, 267, 234, 200, 234, 234, 133]), 4: array([267, 267, 233, 233, 233, 167, 200]), 5: array([300, 300, 267, 200, 234, 234, 167]), 6: array([300, 233, 233, 233, 200, 200, 166]), 7: array([233, 200, 200, 200, 133, 133, 166]), 8: array([267, 200, 234, 200, 200, 200, 133]), 9: array([267, 200, 233, 200, 166, 200, 166]), 10: array([267, 234, 234, 267, 234, 167, 133])}",389.6142857142857,6.0,217.71428571428572
16,s63,"{1: array([ 166.,  233.,   33., 1399.,   nan,   66., 1266.]), 2: array([  nan,  199., 1498.,   nan,   66., 1598.,   nan]), 3: array([1533.,   nan,   66.,   nan,   33.,  166.,  200.]), 4: array([1431.,   nan,  233.,  233.,   99.,   33., 1398.]), 5: array([ 266.,   33.,   nan, 1332., 1465.,   nan,   nan]), 6: array([100., 133.,  nan, 333., 333., 534., 434.]), 7: array([  33.,   nan,   nan, 1367.,   nan,   nan,   33.]), 8: array([1295.,   nan,   nan,   66., 1527.,   nan,   33.]), 9: array([  nan,   nan,   33., 1634.,   nan,   nan,   nan]), 10: array([nan, 66., nan, nan, nan, nan, 33.])}","{1: 7, 2: 6, 3: 6, 4: 6, 5: 6, 6: 5, 7: 2, 8: 4, 9: 3, 10: 3}","{1: array([166, 166, 166, 133, 133, 133, 133,  66]), 2: array([199, 166, 166,  99, 166,  99, 133,  99]), 3: array([200, 200, 166, 166, 166,  66, 166, 133]), 4: array([199, 199, 166, 166,  99, 133, 133,  99]), 5: array([166, 133, 166,  99,  99, 133, 133,  99]), 6: array([233, 200, 133, 200, 133,  66, 100]), 7: array([133, 133, 133]), 8: array([132,  99, 132,  66,  99,  99]), 9: array([133, 133,  66]), 10: array([133, 133, 133,  99,  66])}",541.2380952380952,4.8,138.359375
17,s19,"{1: array([300, 367, 400, 433, 600, 400, 534]), 2: array([366, 266, 366, 332, 565, 532, 399]), 3: array([366., 333., 399., 433., 399., 399.,  nan]), 4: array([ nan,  nan, 299., 166., 299., 432., 498.]), 5: array([ nan, 299.,  nan,  nan,  nan,  nan, 332.]), 6: array([398., 299.,  nan, 299., 498., 299.,  nan]), 7: array([432, 432, 365, 399, 365, 465, 432]), 8: array([465., 531., 465.,  nan,  nan, 598., 531.]), 9: array([432, 299, 399, 365, 399, 365, 365]), 10: array([432, 465, 365, 498, 398, 432, 465])}","{1: 6, 2: 6, 3: 5, 4: 5, 5: 2, 6: 4, 7: 6, 8: 4, 9: 6, 10: 6}","{1: array([500, 333, 200, 233, 166, 133, 133]), 2: array([299, 199, 232, 133, 199, 166,  66]), 3: array([266, 199,  99, 133, 133,  66]), 4: array([232, 199,  99, 199, 199]), 5: array([133,  99]), 6: array([199,  99, 166,  66,  66]), 7: array([266, 232, 199, 166, 133, 166, 133]), 8: array([199, 132, 166,  99, 132]), 9: array([199, 166, 166, 133,  99,  66,  66]), 10: array([232, 132, 199, 132, 132, 132,  66])}",404.44827586206895,5.2,156.68965517241378
